Id,SalePrice
1461,92565.0625
1462,151566.75
1463,162782.5
1464,181227.375
1465,199974.6875
1466,172095.125
1467,189835.28125
1468,158818.71875
1469,207056.1875
1470,106893.78125
1471,187447.34375
1472,118988.6640625
1473,99650.1171875
1474,157089.171875
1475,128247.75
1476,317760.0
1477,238270.4375
1478,284972.6875
1479,282904.9375
1480,435618.5625
1481,298991.0625
1482,209952.46875
1483,186253.0
1484,185222.578125
1485,197738.5
1486,210637.25
1487,304884.8125
1488,246324.625
1489,188868.90625
1490,228640.75
1491,213563.6875
1492,74352.625
1493,180722.4375
1494,300022.0625
1495,279257.875
1496,218881.96875
1497,162043.515625
1498,157183.140625
1499,158078.09375
1500,151738.96875
1501,195082.765625
1502,134371.171875
1503,260487.875
1504,235925.59375
1505,217089.125
1506,200466.75
1507,257096.75
1508,210390.625
1509,154608.125
1510,141221.96875
1511,157629.75
1512,182409.4375
1513,154209.25
1514,167040.875
1515,208983.375
1516,144117.875
1517,160004.125
1518,115260.09375
1519,241927.25
1520,127925.46875
1521,116834.5
1522,182099.75
1523,81689.96875
1524,129039.375
1525,96509.4375
1526,79259.8125
1527,81084.59375
1528,136872.0
1529,128333.625
1530,216923.59375
1531,154999.1875
1532,84752.65625
1533,174787.75
1534,146312.5625
1535,139775.125
1536,85270.96875
1537,41778.5
1538,183523.6875
1539,228864.15625
1540,121863.25
1541,148034.0625
1542,129245.59375
1543,201716.25
1544,81625.65625
1545,113777.625
1546,135387.90625
1547,136360.9375
1548,130173.375
1549,109096.625
1550,127985.09375
1551,123486.25
1552,129407.40625
1553,150694.0
1554,111827.5625
1555,165734.875
1556,73844.625
1557,126912.0
1558,122245.53125
1559,71553.28125
1560,125924.65625
1561,135908.6875
1562,137876.3125
1563,115199.53125
1564,159609.46875
1565,122768.6875
1566,264000.8125
1567,71649.0
1568,242463.0
1569,131102.8125
1570,145963.1875
1571,115292.5
1572,147219.40625
1573,268990.375
1574,128654.125
1575,258813.375
1576,249723.9375
1577,190108.8125
1578,152087.75
1579,130326.5625
1580,191461.78125
1581,156393.1875
1582,123293.5
1583,303284.3125
1584,230230.09375
1585,148537.640625
1586,76835.84375
1587,130062.8125
1588,152556.75
1589,103463.9375
1590,128733.6875
1591,73424.96875
1592,146884.0625
1593,136754.25
1594,133389.25
1595,105703.5625
1596,225911.375
1597,179047.125
1598,198278.625
1599,214888.765625
1600,196716.671875
1601,53211.46875
1602,133924.09375
1603,60304.03125
1604,258329.1875
1605,258266.75
1606,166707.4375
1607,181763.125
1608,220380.1875
1609,203361.25
1610,148701.03125
1611,154481.8125
1612,176624.0625
1613,162861.125
1614,147937.21875
1615,65568.6484375
1616,44343.8046875
1617,64391.4453125
1618,117521.8125
1619,161247.3125
1620,160271.5
